ach,cortisol,ne,serotonin,stage,time_hours
0.3187,0.1573,0.1952,0.2549,N3,3.408333
0.3148,0.1585,0.208,0.2519,N3,3.416667
0.3097,0.1529,0.1818,0.241,N3,3.425
0.2982,0.1847,0.2227,0.2035,N3,3.433333
0.2985,0.1696,0.2048,0.2678,N3,3.441667
0.2976,0.1555,0.1677,0.2436,N3,3.45
0.2883,0.1516,0.2012,0.2466,N3,3.458333
0.3133,0.2007,0.1803,0.2417,N3,3.466667
0.2801,0.1434,0.2042,0.2511,N3,3.475
0.32,0.1609,0.1992,0.2661,N3,3.483333
0.3034,0.1543,0.1952,0.2209,N3,3.491667
0.2926,0.1826,0.1717,0.2456,N3,3.5
0.2993,0.1584,0.1863,0.2308,N3,3.508333
0.2883,0.1509,0.1849,0.221,N3,3.516667
0.2808,0.1748,0.2102,0.2052,N3,3.525
0.3267,0.1472,0.1691,0.2472,N3,3.533333
0.3274,0.1635,0.201,0.2136,N3,3.541667
0.2886,0.1873,0.1927,0.2712,N3,3.55
0.3091,0.156,0.217,0.2444,N3,3.558333
0.4496,0.1626,0.2778,0.3411,N2,3.566667
0.4508,0.1554,0.2699,0.3217,N2,3.575
0.4464,0.1523,0.2574,0.3439,N2,3.583333
0.4348,0.1626,0.317,0.3189,N2,3.591667
0.4527,0.1678,0.2732,0.3586,N2,3.6
0.4432,0.181,0.2448,0.3354,N2,3.608333
0.4827,0.1832,0.2534,0.3272,N2,3.616667
0.4421,0.1374,0.2584,0.3383,N2,3.625
0.4386,0.1718,0.2497,0.3423,N2,3.633333
0.447,0.2002,0.2587,0.312,N2,3.641667
0.459,0.1707,0.2805,0.3284,N2,3.65
0.445,0.1347,0.2388,0.3318,N2,3.658333
0.4365,0.1553,0.3037,0.3532,N2,3.666667
0.442,0.1532,0.2797,0.3286,N2,3.675
0.4389,0.1296,0.2626,0.375,N2,3.683333
0.447,0.1828,0.2772,0.3239,N2,3.691667
0.451,0.1487,0.2958,0.3571,N2,3.7
0.444,0.1605,0.2745,0.3404,N2,3.708333
0.4514,0.1674,0.2664,0.3173,N2,3.716667
0.4732,0.13,0.2892,0.3426,N2,3.725
0.4519,0.1466,0.2643,0.3314,N2,3.733333
0.4358,0.1718,0.2806,0.3287,N2,3.741667
0.4666,0.1397,0.2888,0.3034,N2,3.75
0.4714,0.1081,0.2536,0.3316,N2,3.758333
0.4522,0.1184,0.3006,0.3772,N2,3.766667
0.4652,0.1676,0.2834,0.3632,N2,3.775
0.4133,0.147,0.2779,0.3408,N2,3.783333
0.4147,0.1255,0.299,0.3142,N2,3.791667
0.4203,0.1343,0.2985,0.387,N2,3.8
0.4362,0.1141,0.2767,0.3397,N2,3.808333
0.439,0.1252,0.2398,0.3294,N2,3.816667
0.4601,0.1301,0.2405,0.3482,N2,3.825
0.4575,0.1728,0.2548,0.2902,N2,3.833333
0.4274,0.1897,0.2574,0.3209,N2,3.841667
0.4719,0.0857,0.2797,0.3447,N2,3.85
0.4921,0.1585,0.2828,0.3326,N2,3.858333
0.4551,0.1797,0.258,0.3069,N2,3.866667
0.4246,0.1495,0.2744,0.3226,N2,3.875
0.4607,0.1641,0.3064,0.3421,N2,3.883333
0.448,0.1751,0.2864,0.3346,N2,3.891667
0.446,0.1417,0.2955,0.3581,N2,3.9
0.4819,0.1642,0.2403,0.3252,N2,3.908333
0.4528,0.1181,0.238,0.321,N2,3.916667
0.4456,0.1372,0.3021,0.3467,N2,3.925
0.4759,0.1365,0.3106,0.3545,N2,3.933333
0.4525,0.1222,0.2846,0.3556,N2,3.941667
0.4222,0.1359,0.3079,0.2907,N2,3.95
0.4982,0.1353,0.2986,0.3237,N2,3.958333
0.4577,0.147,0.2772,0.3193,N2,3.966667
0.4599,0.1126,0.2961,0.3428,N2,3.975
0.4354,0.1466,0.2466,0.3422,N2,3.983333
0.4436,0.1422,0.2663,0.3286,N2,3.991667
0.4647,0.1444,0.2921,0.3141,N2,4.0
0.4443,0.1396,0.2785,0.3449,N2,4.008333
0.9152,0.1162,0.0,0.0701,REM,4.016667
0.9168,0.1348,0.0281,0.0497,REM,4.025
0.9012,0.1274,0.0262,0.0297,REM,4.033333
0.9269,0.1343,0.0529,0.047,REM,4.041667
0.9123,0.1623,0.0823,0.0263,REM,4.05
0.8669,0.1127,0.0628,0.0539,REM,4.058333
0.9084,0.1474,0.0162,0.0703,REM,4.066667
0.8625,0.0917,0.0407,0.0546,REM,4.075
0.9007,0.1356,0.034,0.0855,REM,4.083333
0.8675,0.1228,0.0462,0.0685,REM,4.091667
0.8672,0.1142,0.0421,0.0642,REM,4.1
0.8959,0.1131,0.0577,0.0526,REM,4.108333
0.9107,0.1064,0.0283,0.0537,REM,4.116667
0.9152,0.0915,0.0651,0.1001,REM,4.125
0.9171,0.1281,0.0681,0.0701,REM,4.133333
0.8833,0.1283,0.0192,0.0726,REM,4.141667
0.8672,0.141,0.0342,0.0577,REM,4.15
0.8955,0.1437,0.0521,0.0686,REM,4.158333
0.8869,0.0855,0.0245,0.0887,REM,4.166667
