time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
1.316667,REM,0.901,0.0697,0.0302,0.2721,fearful,0.8,0.6687
1.325,REM,0.9008,0.0421,0.0679,0.2475,curious,0.891,0.5387
1.333333,REM,0.9085,0.059,0.0868,0.2788,curious,0.845,0.5836
1.341667,REM,0.9477,0.0098,0.0535,0.2388,neutral,0.871,0.4774
1.35,REM,0.9031,0.0659,0.0809,0.2199,serene,0.868,0.3787
1.358333,REM,0.8876,0.0476,0.0695,0.2251,curious,0.799,0.3592
1.366667,REM,0.9178,0.0271,0.0481,0.2221,neutral,0.868,0.3669
1.375,REM,0.8999,0.0417,0.0378,0.2886,melancholic,0.885,0.427
1.383333,REM,0.8976,0.0496,0.0295,0.1993,anxious,0.866,0.5456
1.391667,REM,0.8722,0.0583,0.0651,0.2262,anxious,0.876,0.634
1.4,N1,0.4694,0.2426,0.3062,0.2347,joyful,0.354,0.0
1.408333,N1,0.4956,0.2846,0.3146,0.2514,neutral,0.374,0.0
1.416667,N1,0.4865,0.2216,0.3097,0.2304,neutral,0.316,0.0
1.425,N1,0.5034,0.2556,0.3012,0.2464,neutral,0.347,0.0
1.433333,N2,0.423,0.2546,0.3018,0.2456,neutral,0.394,0.0
1.441667,N2,0.4563,0.2356,0.3135,0.2282,neutral,0.34,0.0
1.45,N2,0.4957,0.2518,0.2893,0.2313,melancholic,0.365,0.0
1.458333,N2,0.4395,0.2432,0.3186,0.2082,joyful,0.384,0.0
1.466667,N2,0.4566,0.2674,0.2414,0.2421,neutral,0.338,0.0
1.475,N2,0.4634,0.237,0.2992,0.2465,curious,0.379,0.0
1.483333,N2,0.4503,0.2788,0.2723,0.2076,joyful,0.434,0.0
1.491667,N2,0.4484,0.2602,0.2863,0.259,neutral,0.378,0.0
1.5,N2,0.4217,0.2668,0.2693,0.2437,curious,0.473,0.0
1.508333,N2,0.4331,0.2657,0.2627,0.1998,curious,0.451,0.0
1.516667,N2,0.426,0.2594,0.2845,0.2496,neutral,0.34,0.0
