time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
1.308333,N2,0.4893,0.2669,0.227,0.2649,neutral,0.382,0.0
1.316667,N2,0.4341,0.28,0.2828,0.2368,neutral,0.403,0.0
1.325,N2,0.4289,0.2568,0.2877,0.249,fearful,0.401,0.0
1.333333,N2,0.454,0.2722,0.2861,0.2596,curious,0.439,0.0
1.341667,N2,0.4355,0.2762,0.3,0.2338,joyful,0.37,0.0
1.35,N2,0.4881,0.2962,0.2496,0.2766,joyful,0.379,0.0
1.358333,N2,0.4888,0.274,0.2875,0.2892,neutral,0.376,0.0
1.366667,N2,0.4681,0.2985,0.3323,0.2068,neutral,0.412,0.0
1.375,N2,0.4254,0.3124,0.2917,0.2489,neutral,0.41,0.0
1.383333,N2,0.4407,0.3065,0.2889,0.2753,neutral,0.425,0.0
1.391667,N2,0.4469,0.2777,0.2781,0.2358,neutral,0.395,0.0
1.4,N2,0.4683,0.2634,0.2844,0.2532,curious,0.429,0.0
1.408333,N2,0.4126,0.3148,0.2991,0.2279,neutral,0.407,0.0
1.416667,N2,0.4571,0.2926,0.2436,0.2378,curious,0.423,0.0
1.425,N2,0.4928,0.2931,0.2884,0.2179,curious,0.4,0.0
1.433333,REM,0.9182,0.0574,0.0348,0.2034,fearful,0.9,0.4133
1.441667,REM,0.8997,0.0395,0.0386,0.2495,neutral,0.881,0.5168
1.45,REM,0.8617,0.0485,0.0461,0.2347,neutral,0.845,0.6727
1.458333,REM,0.9399,0.0398,0.0471,0.2703,fearful,0.885,0.567
1.466667,REM,0.907,0.0071,0.0548,0.2588,joyful,0.87,0.3952
1.475,REM,0.9182,0.0054,0.0528,0.219,melancholic,0.871,0.3518
1.483333,REM,0.8952,0.0572,0.0295,0.2629,neutral,0.893,0.4558
1.491667,REM,0.8923,0.0442,0.0236,0.2472,neutral,0.877,0.6455
