ach,cortisol,ne,serotonin,stage,time_hours
0.4848,0.2202,0.3159,0.2288,N2,1.2
0.4762,0.2617,0.2932,0.3099,N2,1.208333
0.4695,0.2693,0.2764,0.2744,N2,1.216667
0.4338,0.2462,0.2731,0.2912,N2,1.225
0.4166,0.2478,0.3089,0.2835,N2,1.233333
0.4438,0.2621,0.2991,0.2728,N2,1.241667
0.8743,0.257,0.0788,0.0586,REM,1.25
0.8817,0.2313,0.0573,0.0543,REM,1.258333
0.8685,0.2628,0.0334,0.0619,REM,1.266667
0.9393,0.2643,0.0424,0.0602,REM,1.275
0.9147,0.2482,0.0653,0.0241,REM,1.283333
0.9153,0.2253,0.0305,0.0537,REM,1.291667
0.8872,0.2306,0.0346,0.0836,REM,1.3
0.8976,0.2763,0.0601,0.0694,REM,1.308333
0.9036,0.245,0.034,0.054,REM,1.316667
0.89,0.2531,0.031,0.0517,REM,1.325
0.8904,0.238,0.0493,0.0761,REM,1.333333
0.9086,0.2621,0.0386,0.0725,REM,1.341667
0.9273,0.2455,0.065,0.0448,REM,1.35
0.9143,0.2233,0.0604,0.0053,REM,1.358333
0.8602,0.2821,0.0243,0.0658,REM,1.366667
0.9081,0.2088,0.038,0.0343,REM,1.375
0.4999,0.228,0.2954,0.3116,N1,1.383333
0.457,0.2591,0.307,0.3185,N1,1.391667
0.4622,0.2261,0.2943,0.3234,N1,1.4
0.4888,0.2507,0.3307,0.2885,N1,1.408333
0.4996,0.2354,0.3042,0.29,N1,1.416667
0.4548,0.2501,0.3132,0.2733,N1,1.425
0.454,0.2375,0.2635,0.2614,N2,1.433333
0.4675,0.2311,0.2717,0.2715,N2,1.441667
0.4504,0.2467,0.264,0.258,N2,1.45
0.4866,0.2294,0.2617,0.277,N2,1.458333
0.4503,0.2227,0.2637,0.2615,N2,1.466667
0.4381,0.2291,0.3208,0.2814,N2,1.475
0.4814,0.2374,0.2716,0.289,N2,1.483333
0.457,0.2193,0.2548,0.2798,N2,1.491667
0.4782,0.2292,0.2842,0.249,N2,1.5
0.4805,0.2347,0.3279,0.2852,N2,1.508333
0.399,0.1981,0.3114,0.286,N2,1.516667
0.4603,0.2209,0.2724,0.2636,N2,1.525
0.4511,0.2172,0.2671,0.2934,N2,1.533333
0.459,0.2247,0.3032,0.2701,N2,1.541667
0.3942,0.2484,0.2799,0.2746,N2,1.55
0.4555,0.1942,0.3065,0.2831,N2,1.558333
0.4291,0.2411,0.2524,0.2762,N2,1.566667
0.4164,0.2277,0.2899,0.2964,N2,1.575
0.4248,0.2591,0.2855,0.2873,N2,1.583333
0.4531,0.2258,0.2494,0.2802,N2,1.591667
0.4542,0.2123,0.2702,0.2801,N2,1.6
0.4541,0.2257,0.2723,0.2735,N2,1.608333
0.4503,0.2219,0.2631,0.3012,N2,1.616667
0.4475,0.2219,0.2977,0.2783,N2,1.625
0.4585,0.1848,0.2863,0.2579,N2,1.633333
0.4347,0.2071,0.2778,0.2813,N2,1.641667
0.4448,0.2214,0.2417,0.258,N2,1.65
0.4455,0.2072,0.2848,0.2658,N2,1.658333
0.4606,0.2333,0.331,0.2798,N2,1.666667
0.4382,0.2818,0.2795,0.2768,N2,1.675
0.4456,0.2162,0.2996,0.2774,N2,1.683333
0.4297,0.2199,0.2932,0.2767,N2,1.691667
0.2988,0.2157,0.1723,0.1868,N3,1.7
0.31,0.1894,0.2059,0.2027,N3,1.708333
0.334,0.198,0.2281,0.2414,N3,1.716667
0.3012,0.2383,0.2263,0.2087,N3,1.725
0.2964,0.2156,0.1981,0.1859,N3,1.733333
0.2902,0.2142,0.1653,0.188,N3,1.741667
0.284,0.2142,0.199,0.2063,N3,1.75
0.2952,0.2247,0.2034,0.1983,N3,1.758333
0.2935,0.2258,0.2181,0.2207,N3,1.766667
0.3004,0.2296,0.2158,0.2222,N3,1.775
0.3137,0.1877,0.165,0.2268,N3,1.783333
0.2788,0.1998,0.1946,0.1717,N3,1.791667
0.3314,0.2372,0.1757,0.1725,N3,1.8
0.2762,0.2078,0.2102,0.1851,N3,1.808333
0.3159,0.1929,0.2155,0.2163,N3,1.816667
0.3071,0.1999,0.1927,0.1913,N3,1.825
0.3142,0.1941,0.1495,0.2117,N3,1.833333
0.2955,0.214,0.179,0.2211,N3,1.841667
0.2624,0.2326,0.2437,0.1839,N3,1.85
0.3277,0.1823,0.1749,0.1794,N3,1.858333
0.2876,0.1974,0.2034,0.2017,N3,1.866667
0.3129,0.2128,0.1589,0.1829,N3,1.875
0.3017,0.1656,0.1966,0.2071,N3,1.883333
0.343,0.2124,0.1933,0.1985,N3,1.891667
0.3337,0.1745,0.2041,0.1733,N3,1.9
0.2875,0.2312,0.2089,0.2281,N3,1.908333
0.318,0.1544,0.1803,0.1676,N3,1.916667
0.2833,0.2209,0.216,0.1952,N3,1.925
0.2993,0.2033,0.1793,0.1954,N3,1.933333
0.2943,0.1739,0.1901,0.1747,N3,1.941667
0.3079,0.2056,0.2258,0.212,N3,1.95
0.2893,0.2031,0.1999,0.198,N3,1.958333
0.2887,0.224,0.2263,0.1869,N3,1.966667
0.297,0.183,0.1993,0.1818,N3,1.975
0.285,0.1966,0.1901,0.2055,N3,1.983333
0.3377,0.1878,0.1733,0.1531,N3,1.991667
0.2984,0.1701,0.1952,0.1922,N3,2.0
0.2871,0.21,0.1547,0.1637,N3,2.008333
0.3042,0.2091,0.1861,0.1858,N3,2.016667
0.2993,0.2112,0.2255,0.201,N3,2.025
0.2649,0.18,0.2324,0.2066,N3,2.033333
0.3027,0.1901,0.1924,0.1841,N3,2.041667
0.3058,0.1691,0.1901,0.2096,N3,2.05
0.2774,0.1964,0.1852,0.1886,N3,2.058333
0.2855,0.174,0.1721,0.1987,N3,2.066667
0.309,0.1804,0.1847,0.2163,N3,2.075
0.2637,0.2019,0.2046,0.1891,N3,2.083333
0.2899,0.1923,0.2038,0.2394,N3,2.091667
0.295,0.1529,0.2503,0.2219,N3,2.1
0.2714,0.1667,0.1974,0.1673,N3,2.108333
0.3041,0.1709,0.2005,0.204,N3,2.116667
0.3257,0.1701,0.2462,0.233,N3,2.125
0.4544,0.1966,0.263,0.2343,N2,2.133333
0.468,0.1916,0.2501,0.2997,N2,2.141667
0.4429,0.187,0.2934,0.2745,N2,2.15
0.46,0.1581,0.2923,0.2741,N2,2.158333
0.43,0.2241,0.2685,0.2499,N2,2.166667
0.4534,0.1881,0.2546,0.274,N2,2.175
0.4484,0.1542,0.2647,0.2657,N2,2.183333
0.4549,0.1873,0.2541,0.2595,N2,2.191667
0.4248,0.1682,0.2985,0.2961,N2,2.2
0.4645,0.189,0.2723,0.302,N2,2.208333
0.4569,0.1853,0.243,0.2823,N2,2.216667
0.4561,0.1901,0.3063,0.2862,N2,2.225
0.4558,0.1781,0.2846,0.2409,N2,2.233333
0.4653,0.1627,0.2584,0.2578,N2,2.241667
0.4493,0.1703,0.2687,0.2543,N2,2.25
0.443,0.186,0.2881,0.2665,N2,2.258333
0.4713,0.1374,0.2874,0.2904,N2,2.266667
0.4215,0.1903,0.2607,0.2859,N2,2.275
0.4738,0.1497,0.2814,0.2818,N2,2.283333
0.4524,0.1582,0.2855,0.2775,N2,2.291667
0.4232,0.1445,0.2901,0.2714,N2,2.3
0.4512,0.2063,0.2514,0.3263,N2,2.308333
0.4723,0.1535,0.2852,0.2779,N2,2.316667
0.4723,0.192,0.2854,0.3022,N2,2.325
0.4395,0.1697,0.3036,0.2925,N2,2.333333
0.4486,0.1906,0.2663,0.2588,N2,2.341667
0.4305,0.1419,0.2679,0.2537,N2,2.35
0.4236,0.1802,0.2852,0.2896,N2,2.358333
0.4323,0.149,0.2787,0.282,N2,2.366667
0.4516,0.1357,0.2832,0.283,N2,2.375
0.451,0.1444,0.2781,0.2973,N2,2.383333
0.4035,0.1482,0.2756,0.2676,N2,2.391667
0.4501,0.1755,0.2412,0.2955,N2,2.4
0.4444,0.1652,0.3029,0.2567,N2,2.408333
0.4608,0.1807,0.3043,0.3089,N2,2.416667
0.4541,0.1352,0.2991,0.2798,N2,2.425
0.4299,0.1335,0.2829,0.2796,N2,2.433333
0.4163,0.122,0.2616,0.271,N2,2.441667
0.4523,0.1613,0.2497,0.2872,N2,2.45
0.4425,0.1328,0.2925,0.2807,N2,2.458333
0.4452,0.1232,0.2943,0.2933,N2,2.466667
0.4563,0.1583,0.2365,0.2809,N2,2.475
0.4273,0.215,0.2641,0.26,N2,2.483333
0.4669,0.1373,0.2795,0.2883,N2,2.491667
0.4191,0.1387,0.282,0.3067,N2,2.5
0.445,0.1359,0.2627,0.2798,N2,2.508333
0.4354,0.1535,0.262,0.2401,N2,2.516667
0.4292,0.1474,0.2837,0.311,N2,2.525
0.4703,0.128,0.2947,0.2502,N2,2.533333
0.4839,0.144,0.3103,0.2726,N2,2.541667
0.4149,0.1185,0.2596,0.271,N2,2.55
0.4561,0.1425,0.2849,0.2628,N2,2.558333
0.4661,0.1241,0.2802,0.284,N2,2.566667
0.4614,0.145,0.2866,0.2896,N2,2.575
0.4329,0.1286,0.2052,0.2722,N2,2.583333
0.4372,0.1198,0.2648,0.2833,N2,2.591667
0.4627,0.1644,0.2739,0.2579,N2,2.6
0.4561,0.1495,0.3,0.2716,N2,2.608333
0.4052,0.0783,0.2669,0.2906,N2,2.616667
0.4564,0.1388,0.2826,0.2688,N2,2.625
0.4515,0.1409,0.255,0.2431,N2,2.633333
0.4529,0.1137,0.2754,0.2967,N2,2.641667
0.4238,0.1318,0.2966,0.249,N2,2.65
0.4524,0.0941,0.293,0.2436,N2,2.658333
0.8823,0.1467,0.0405,0.0585,REM,2.666667
0.9071,0.1184,0.0452,0.0812,REM,2.675
0.9069,0.1371,0.1036,0.0597,REM,2.683333
0.9077,0.1103,0.0461,0.0398,REM,2.691667
0.8903,0.1606,0.0678,0.0493,REM,2.7
0.9127,0.1345,0.0477,0.0453,REM,2.708333
0.8897,0.1295,0.0282,0.0515,REM,2.716667
0.9235,0.145,0.0681,0.0542,REM,2.725
0.8876,0.1497,0.054,0.0344,REM,2.733333
0.9033,0.1425,0.0745,0.0461,REM,2.741667
0.8862,0.1359,0.0744,0.0539,REM,2.75
0.8882,0.12,0.0509,0.0856,REM,2.758333
0.9393,0.1379,0.0665,0.031,REM,2.766667
0.9038,0.1532,0.0288,0.0513,REM,2.775
0.8704,0.1292,0.0785,0.041,REM,2.783333
0.8856,0.1637,0.0259,0.0525,REM,2.791667
0.8445,0.1478,0.0446,0.0372,REM,2.8
0.9192,0.1144,0.0403,0.041,REM,2.808333
0.9032,0.165,0.0412,0.0549,REM,2.816667
0.9104,0.1228,0.0167,0.0473,REM,2.825
0.9137,0.1351,0.0311,0.0347,REM,2.833333
0.8844,0.1463,0.0819,0.0918,REM,2.841667
0.9193,0.1361,0.0663,0.0458,REM,2.85
0.9106,0.1344,0.0414,0.0,REM,2.858333
0.8784,0.1509,0.0691,0.0788,REM,2.866667
0.9301,0.1795,0.0917,0.0514,REM,2.875
0.8856,0.0943,0.0197,0.0561,REM,2.883333
0.8921,0.1568,0.013,0.0671,REM,2.891667
0.9381,0.1464,0.0324,0.0522,REM,2.9
0.918,0.148,0.066,0.0561,REM,2.908333
0.4484,0.1792,0.3139,0.2833,N1,2.916667
0.5128,0.1184,0.3231,0.3393,N1,2.925
0.4804,0.1273,0.294,0.2961,N1,2.933333
0.4959,0.1242,0.3403,0.3168,N1,2.941667
0.4216,0.1652,0.2475,0.2757,N2,2.95
0.4356,0.159,0.3202,0.2636,N2,2.958333
0.4607,0.2079,0.2959,0.261,N2,2.966667
0.4222,0.1348,0.2879,0.2458,N2,2.975
0.4653,0.1566,0.2738,0.3041,N2,2.983333
0.4749,0.1367,0.294,0.2767,N2,2.991667
0.4447,0.1754,0.2726,0.2892,N2,3.0
0.4618,0.1639,0.3241,0.2778,N2,3.008333
0.4266,0.1671,0.2678,0.2521,N2,3.016667
0.4547,0.162,0.2737,0.2823,N2,3.025
0.4665,0.1548,0.2449,0.3106,N2,3.033333
0.4544,0.186,0.2777,0.2995,N2,3.041667
0.4512,0.1439,0.2773,0.2966,N2,3.05
0.4596,0.207,0.2501,0.2829,N2,3.058333
0.4262,0.158,0.2619,0.2734,N2,3.066667
0.454,0.1814,0.3282,0.2503,N2,3.075
0.4021,0.136,0.2968,0.2757,N2,3.083333
0.4457,0.1704,0.2652,0.2705,N2,3.091667
0.4811,0.1807,0.2394,0.2708,N2,3.1
0.4281,0.1772,0.281,0.2693,N2,3.108333
0.4507,0.1396,0.2542,0.2793,N2,3.116667
0.4324,0.2031,0.2847,0.2956,N2,3.125
0.4656,0.1407,0.2423,0.2711,N2,3.133333
0.4388,0.1546,0.3068,0.2793,N2,3.141667
0.4765,0.1691,0.3129,0.2952,N2,3.15
0.4787,0.1762,0.2652,0.3012,N2,3.158333
0.4507,0.1635,0.29,0.2894,N2,3.166667
0.4932,0.1697,0.2709,0.2991,N2,3.175
0.463,0.1647,0.2792,0.2837,N2,3.183333
0.4383,0.1694,0.2895,0.2539,N2,3.191667
0.4522,0.1729,0.2614,0.2781,N2,3.2
0.4575,0.1572,0.2701,0.2623,N2,3.208333
0.4464,0.1485,0.3147,0.2823,N2,3.216667
0.4784,0.1611,0.2953,0.244,N2,3.225
0.4505,0.1676,0.2929,0.2616,N2,3.233333
0.4317,0.163,0.2517,0.2599,N2,3.241667
0.4603,0.1415,0.3103,0.2682,N2,3.25
0.47,0.1805,0.2956,0.2774,N2,3.258333
0.4558,0.1724,0.3205,0.2643,N2,3.266667
0.433,0.1529,0.2662,0.2849,N2,3.275
0.46,0.1669,0.2966,0.2736,N2,3.283333
0.4316,0.1598,0.2654,0.2754,N2,3.291667
0.4491,0.1754,0.2814,0.3012,N2,3.3
0.4274,0.1723,0.2539,0.2581,N2,3.308333
0.4638,0.1599,0.2951,0.2952,N2,3.316667
0.456,0.1504,0.2848,0.2617,N2,3.325
0.474,0.1747,0.2536,0.2864,N2,3.333333
0.4541,0.1819,0.2625,0.2787,N2,3.341667
0.4303,0.2155,0.2932,0.2824,N2,3.35
0.4431,0.1633,0.3068,0.3012,N2,3.358333
0.4482,0.1934,0.2587,0.2779,N2,3.366667
0.4614,0.1942,0.2945,0.2823,N2,3.375
0.4246,0.1858,0.2771,0.3066,N2,3.383333
0.4455,0.1727,0.2787,0.3128,N2,3.391667
0.4552,0.1379,0.2794,0.2502,N2,3.4
0.4674,0.1606,0.2828,0.2623,N2,3.408333
0.4181,0.1468,0.2912,0.2377,N2,3.416667
0.4852,0.153,0.2724,0.275,N2,3.425
0.4366,0.1677,0.2714,0.2836,N2,3.433333
0.4561,0.1729,0.2968,0.2881,N2,3.441667
0.3002,0.1646,0.2268,0.1882,N3,3.45
0.316,0.1931,0.205,0.1926,N3,3.458333
0.2666,0.1458,0.2048,0.1927,N3,3.466667
0.2962,0.1424,0.2276,0.1978,N3,3.475
0.3127,0.17,0.1836,0.2009,N3,3.483333
0.3132,0.1423,0.2146,0.2089,N3,3.491667
0.2851,0.1915,0.1979,0.204,N3,3.5
0.295,0.1733,0.2079,0.1915,N3,3.508333
0.262,0.1344,0.203,0.2046,N3,3.516667
0.3681,0.1479,0.2057,0.2082,N3,3.525
0.3137,0.1513,0.1928,0.224,N3,3.533333
0.3003,0.1552,0.2248,0.2082,N3,3.541667
0.2671,0.1336,0.1898,0.2283,N3,3.55
0.2929,0.1568,0.2224,0.2121,N3,3.558333
0.3306,0.1734,0.1975,0.1889,N3,3.566667
0.287,0.2034,0.1906,0.2218,N3,3.575
0.3334,0.1413,0.178,0.1878,N3,3.583333
0.3113,0.1848,0.2013,0.1879,N3,3.591667
0.3212,0.1873,0.195,0.1871,N3,3.6
0.265,0.1595,0.2347,0.1828,N3,3.608333
0.2401,0.1446,0.199,0.2074,N3,3.616667
0.296,0.1703,0.174,0.2097,N3,3.625
0.275,0.1373,0.2258,0.2202,N3,3.633333
0.3115,0.1352,0.1927,0.1812,N3,3.641667
0.4313,0.1699,0.2937,0.2786,N2,3.65
0.4763,0.1651,0.2829,0.3004,N2,3.658333
0.4611,0.1857,0.2803,0.282,N2,3.666667
0.4473,0.1535,0.2908,0.2732,N2,3.675
0.441,0.1757,0.3084,0.277,N2,3.683333
0.4575,0.1593,0.2519,0.3032,N2,3.691667
0.451,0.2023,0.2629,0.3001,N2,3.7
0.4431,0.179,0.2801,0.2717,N2,3.708333
0.4356,0.164,0.2795,0.2864,N2,3.716667
0.4208,0.1537,0.301,0.3144,N2,3.725
0.4593,0.139,0.2849,0.2867,N2,3.733333
0.4597,0.2217,0.2708,0.315,N2,3.741667
0.4531,0.1729,0.2558,0.2816,N2,3.75
0.4552,0.1614,0.2375,0.2855,N2,3.758333
0.4014,0.1406,0.28,0.2917,N2,3.766667
0.442,0.1686,0.3043,0.25,N2,3.775
0.4716,0.1402,0.3126,0.2826,N2,3.783333
0.4513,0.1429,0.2576,0.2942,N2,3.791667
0.4519,0.0955,0.2661,0.294,N2,3.8
0.4629,0.168,0.258,0.284,N2,3.808333
0.4683,0.136,0.302,0.2446,N2,3.816667
0.4624,0.1127,0.2622,0.3196,N2,3.825
0.4187,0.1555,0.2858,0.2861,N2,3.833333
0.4446,0.1266,0.2732,0.2585,N2,3.841667
0.4483,0.1285,0.2764,0.3189,N2,3.85
0.4455,0.1437,0.2988,0.2528,N2,3.858333
0.4775,0.1462,0.2844,0.2568,N2,3.866667
0.4395,0.1564,0.2612,0.2848,N2,3.875
0.473,0.1571,0.2359,0.248,N2,3.883333
0.4882,0.1502,0.2701,0.2868,N2,3.891667
0.4838,0.1352,0.261,0.2629,N2,3.9
0.4058,0.1452,0.2513,0.3051,N2,3.908333
0.4524,0.1427,0.3262,0.2926,N2,3.916667
0.4681,0.1045,0.2648,0.2631,N2,3.925
0.4786,0.1007,0.2729,0.2853,N2,3.933333
0.4867,0.1035,0.2756,0.279,N2,3.941667
0.4556,0.0988,0.2958,0.3078,N2,3.95
0.4343,0.1339,0.2641,0.2957,N2,3.958333
0.4516,0.157,0.2629,0.2995,N2,3.966667
0.4904,0.1154,0.2873,0.2998,N2,3.975
0.4145,0.0871,0.2929,0.2951,N2,3.983333
0.4557,0.0973,0.2891,0.2728,N2,3.991667
0.464,0.1392,0.2551,0.2435,N2,4.0
0.4537,0.1263,0.3042,0.2727,N2,4.008333
0.4488,0.1536,0.2867,0.321,N2,4.016667
0.47,0.1554,0.2748,0.2669,N2,4.025
0.469,0.1237,0.3005,0.284,N2,4.033333
0.465,0.1024,0.2641,0.293,N2,4.041667
0.4554,0.1687,0.2995,0.2328,N2,4.05
0.4572,0.1315,0.2481,0.281,N2,4.058333
0.4509,0.0856,0.2788,0.3001,N2,4.066667
0.474,0.1371,0.3049,0.3152,N2,4.075
0.4592,0.1027,0.2416,0.2802,N2,4.083333
0.4722,0.1252,0.3056,0.2609,N2,4.091667
0.4211,0.1221,0.2833,0.3248,N2,4.1
0.4212,0.1217,0.2879,0.2702,N2,4.108333
0.4598,0.1366,0.2721,0.3141,N2,4.116667
0.454,0.1254,0.2605,0.3196,N2,4.125
0.4577,0.1847,0.2763,0.2722,N2,4.133333
0.4255,0.1214,0.3007,0.2639,N2,4.141667
0.432,0.1419,0.2605,0.2911,N2,4.15
0.4494,0.1317,0.2873,0.3056,N2,4.158333
0.4648,0.1552,0.3005,0.2761,N2,4.166667
0.4592,0.1384,0.2688,0.2718,N2,4.175
0.8874,0.1423,0.0062,0.0609,REM,4.183333
0.9154,0.1064,0.0303,0.0434,REM,4.191667
0.9287,0.1286,0.024,0.0606,REM,4.2
0.8916,0.1427,0.049,0.079,REM,4.208333
0.8883,0.1217,0.0149,0.0454,REM,4.216667
0.8924,0.1311,0.0658,0.0755,REM,4.225
0.9281,0.1658,0.054,0.0419,REM,4.233333
0.9133,0.124,0.0248,0.0377,REM,4.241667
0.9189,0.1552,0.0602,0.0764,REM,4.25
0.8705,0.1616,0.0382,0.0327,REM,4.258333
